DATE,LEU0252884600Q
2000-01-01,276
2000-04-01,277
2000-07-01,271
2000-10-01,276
2001-01-01,275
2001-04-01,279
2001-07-01,276
2001-10-01,281
2002-01-01,288
2002-04-01,278
2002-07-01,268
2002-10-01,273
2003-01-01,282
2003-04-01,277
2003-07-01,276
2003-10-01,283
2004-01-01,280
2004-04-01,284
2004-07-01,280
2004-10-01,272
2005-01-01,268
2005-04-01,266
2005-07-01,264
2005-10-01,269
2006-01-01,281
2006-04-01,264
2006-07-01,273
2006-10-01,282
2007-01-01,275
2007-04-01,271
2007-07-01,278
2007-10-01,274
2008-01-01,274
2008-04-01,273
2008-07-01,269
2008-10-01,278
2009-01-01,272
2009-04-01,276
2009-07-01,281
2009-10-01,291
2010-01-01,281
2010-04-01,278
2010-07-01,280
2010-10-01,281
2011-01-01,272
2011-04-01,276
2011-07-01,272
2011-10-01,275
2012-01-01,278
2012-04-01,277
2012-07-01,263
2012-10-01,267
2013-01-01,268
2013-04-01,272
2013-07-01,270
2013-10-01,271
2014-01-01,275
2014-04-01,273
2014-07-01,268
2014-10-01,263
2015-01-01,277
2015-04-01,272
2015-07-01,262
2015-10-01,271
2016-01-01,283
2016-04-01,282
2016-07-01,284
2016-10-01,280
2017-01-01,279
2017-04-01,281
2017-07-01,283
2017-10-01,270
2018-01-01,280
2018-04-01,272
2018-07-01,272
2018-10-01,282
2019-01-01,291
2019-04-01,283
2019-07-01,283
2019-10-01,294
