DATE,LEU0253204900Q
2000-01-01,495
2000-04-01,496
2000-07-01,498
2000-10-01,499
2001-01-01,503
2001-04-01,516
2001-07-01,514
2001-10-01,519
2002-01-01,538
2002-04-01,520
2002-07-01,506
2002-10-01,514
2003-01-01,540
2003-04-01,527
2003-07-01,528
2003-10-01,549
2004-01-01,545
2004-04-01,576
2004-07-01,575
2004-10-01,540
2005-01-01,539
2005-04-01,564
2005-07-01,550
2005-10-01,566
2006-01-01,584
2006-04-01,575
2006-07-01,588
2006-10-01,589
2007-01-01,586
2007-04-01,589
2007-07-01,608
2007-10-01,597
2008-01-01,599
2008-04-01,613
2008-07-01,619
2008-10-01,614
2009-01-01,587
2009-04-01,610
2009-07-01,623
2009-10-01,651
2010-01-01,628
2010-04-01,629
2010-07-01,637
2010-10-01,643
2011-01-01,618
2011-04-01,643
2011-07-01,642
2011-10-01,652
2012-01-01,665
2012-04-01,673
2012-07-01,625
2012-10-01,637
2013-01-01,644
2013-04-01,657
2013-07-01,654
2013-10-01,651
2014-01-01,670
2014-04-01,671
2014-07-01,646
2014-10-01,634
2015-01-01,680
2015-04-01,683
2015-07-01,650
2015-10-01,663
2016-01-01,707
2016-04-01,698
2016-07-01,719
2016-10-01,699
2017-01-01,704
2017-04-01,708
2017-07-01,720
2017-10-01,683
2018-01-01,721
2018-04-01,711
2018-07-01,714
2018-10-01,736
2019-01-01,767
2019-04-01,756
2019-07-01,756
2019-10-01,792
