DATE,LEU0252884900Q
2000-01-01,299
2000-04-01,302
2000-07-01,291
2000-10-01,292
2001-01-01,291
2001-04-01,307
2001-07-01,296
2001-10-01,315
2002-01-01,307
2002-04-01,296
2002-07-01,283
2002-10-01,287
2003-01-01,302
2003-04-01,294
2003-07-01,308
2003-10-01,304
2004-01-01,304
2004-04-01,316
2004-07-01,301
2004-10-01,278
2005-01-01,289
2005-04-01,291
2005-07-01,271
2005-10-01,293
2006-01-01,290
2006-04-01,283
2006-07-01,300
2006-10-01,300
2007-01-01,287
2007-04-01,288
2007-07-01,297
2007-10-01,286
2008-01-01,285
2008-04-01,284
2008-07-01,295
2008-10-01,290
2009-01-01,280
2009-04-01,289
2009-07-01,288
2009-10-01,302
2010-01-01,293
2010-04-01,290
2010-07-01,290
2010-10-01,287
2011-01-01,280
2011-04-01,298
2011-07-01,292
2011-10-01,292
2012-01-01,297
2012-04-01,291
2012-07-01,275
2012-10-01,295
2013-01-01,287
2013-04-01,286
2013-07-01,292
2013-10-01,277
2014-01-01,301
2014-04-01,280
2014-07-01,285
2014-10-01,282
2015-01-01,296
2015-04-01,293
2015-07-01,274
2015-10-01,284
2016-01-01,308
2016-04-01,293
2016-07-01,304
2016-10-01,292
2017-01-01,297
2017-04-01,287
2017-07-01,303
2017-10-01,276
2018-01-01,291
2018-04-01,287
2018-07-01,288
2018-10-01,307
2019-01-01,305
2019-04-01,297
2019-07-01,299
2019-10-01,302
