DATE,LEU0252885200Q
2000-01-01,250
2000-04-01,246
2000-07-01,246
2000-10-01,256
2001-01-01,255
2001-04-01,259
2001-07-01,255
2001-10-01,258
2002-01-01,277
2002-04-01,261
2002-07-01,253
2002-10-01,259
2003-01-01,269
2003-04-01,266
2003-07-01,259
2003-10-01,272
2004-01-01,267
2004-04-01,267
2004-07-01,268
2004-10-01,269
2005-01-01,256
2005-04-01,250
2005-07-01,259
2005-10-01,256
2006-01-01,272
2006-04-01,253
2006-07-01,251
2006-10-01,258
2007-01-01,265
2007-04-01,251
2007-07-01,256
2007-10-01,257
2008-01-01,262
2008-04-01,262
2008-07-01,242
2008-10-01,267
2009-01-01,263
2009-04-01,265
2009-07-01,275
2009-10-01,282
2010-01-01,269
2010-04-01,268
2010-07-01,270
2010-10-01,276
2011-01-01,266
2011-04-01,263
2011-07-01,263
2011-10-01,266
2012-01-01,264
2012-04-01,268
2012-07-01,256
2012-10-01,258
2013-01-01,258
2013-04-01,262
2013-07-01,254
2013-10-01,266
2014-01-01,258
2014-04-01,265
2014-07-01,255
2014-10-01,255
2015-01-01,262
2015-04-01,259
2015-07-01,255
2015-10-01,262
2016-01-01,263
2016-04-01,269
2016-07-01,265
2016-10-01,269
2017-01-01,265
2017-04-01,276
2017-07-01,268
2017-10-01,265
2018-01-01,270
2018-04-01,256
2018-07-01,250
2018-10-01,264
2019-01-01,280
2019-04-01,270
2019-07-01,266
2019-10-01,287
