DATE,LNS12000006
1972-01-01,7594
1972-02-01,7644
1972-03-01,7727
1972-04-01,7771
1972-05-01,7813
1972-06-01,7899
1972-07-01,7787
1972-08-01,7812
1972-09-01,7834
1972-10-01,7800
1972-11-01,7927
1972-12-01,7987
1973-01-01,7908
1973-02-01,8058
1973-03-01,8084
1973-04-01,8048
1973-05-01,8008
1973-06-01,8033
1973-07-01,8177
1973-08-01,8193
1973-09-01,8167
1973-10-01,8287
1973-11-01,8266
1973-12-01,8302
1974-01-01,8338
1974-02-01,8271
1974-03-01,8204
1974-04-01,8223
1974-05-01,8271
1974-06-01,8217
1974-07-01,8208
1974-08-01,8221
1974-09-01,8250
1974-10-01,8221
1974-11-01,8056
1974-12-01,7966
1975-01-01,7907
1975-02-01,7848
1975-03-01,7832
1975-04-01,7767
1975-05-01,7844
1975-06-01,7881
1975-07-01,7926
1975-08-01,7900
1975-09-01,7933
1975-10-01,7930
1975-11-01,7966
1975-12-01,7986
1976-01-01,8081
1976-02-01,8099
1976-03-01,8209
1976-04-01,8269
1976-05-01,8252
1976-06-01,8164
1976-07-01,8198
1976-08-01,8263
1976-09-01,8242
1976-10-01,8230
1976-11-01,8361
1976-12-01,8343
1977-01-01,8358
1977-02-01,8406
1977-03-01,8435
1977-04-01,8531
1977-05-01,8506
1977-06-01,8577
1977-07-01,8491
1977-08-01,8531
1977-09-01,8551
1977-10-01,8562
1977-11-01,8638
1977-12-01,8882
1978-01-01,8846
1978-02-01,8952
1978-03-01,8989
1978-04-01,9019
1978-05-01,9060
1978-06-01,9126
1978-07-01,9092
1978-08-01,9139
1978-09-01,9248
1978-10-01,9271
1978-11-01,9221
1978-12-01,9247
1979-01-01,9215
1979-02-01,9227
1979-03-01,9329
1979-04-01,9258
1979-05-01,9272
1979-06-01,9362
1979-07-01,9420
1979-08-01,9367
1979-09-01,9459
1979-10-01,9482
1979-11-01,9454
1979-12-01,9447
1980-01-01,9395
1980-02-01,9386
1980-03-01,9327
1980-04-01,9294
1980-05-01,9280
1980-06-01,9229
1980-07-01,9290
1980-08-01,9313
1980-09-01,9284
1980-10-01,9314
1980-11-01,9334
1980-12-01,9325
1981-01-01,9420
1981-02-01,9339
1981-03-01,9395
1981-04-01,9530
1981-05-01,9451
1981-06-01,9289
1981-07-01,9317
1981-08-01,9224
1981-09-01,9322
1981-10-01,9347
1981-11-01,9346
1981-12-01,9291
1982-01-01,9305
1982-02-01,9255
1982-03-01,9204
