DATE,BOAAAHORUSQ156N
1994-01-01,42.1
1994-04-01,41.8
1994-07-01,42.7
1994-10-01,42.6
1995-01-01,42.7
1995-04-01,42.6
1995-07-01,41.2
1995-10-01,42.2
1996-01-01,43.8
1996-04-01,43.7
1996-07-01,44.5
1996-10-01,44.4
1997-01-01,44.5
1997-04-01,44.4
1997-07-01,45.3
1997-10-01,45.1
1998-01-01,45.2
1998-04-01,44.7
1998-07-01,46.6
1998-10-01,45.9
1999-01-01,46.3
1999-04-01,45.3
1999-07-01,46.6
1999-10-01,46.8
2000-01-01,47.4
2000-04-01,46.7
2000-07-01,46.8
2000-10-01,47.8
2001-01-01,47.5
2001-04-01,47.9
2001-07-01,47.5
2001-10-01,48.1
2002-01-01,48.2
2002-04-01,46.5
2002-07-01,47.3
2002-10-01,47.7
2003-01-01,47.7
2003-04-01,47.3
2003-07-01,48.0
2003-10-01,49.4
2004-01-01,49.3
2004-04-01,49.7
2004-07-01,48.4
2004-10-01,49.1
2005-01-01,48.8
2005-04-01,48.0
2005-07-01,48.1
2005-10-01,48.0
2006-01-01,47.3
2006-04-01,47.2
2006-07-01,48.6
2006-10-01,48.2
2007-01-01,48.0
2007-04-01,46.3
2007-07-01,46.7
2007-10-01,47.7
2008-01-01,47.1
2008-04-01,47.8
2008-07-01,47.8
2008-10-01,46.8
2009-01-01,46.1
2009-04-01,46.5
2009-07-01,46.4
2009-10-01,46.0
2010-01-01,45.6
2010-04-01,46.2
2010-07-01,45.0
2010-10-01,44.9
2011-01-01,44.8
2011-04-01,44.2
2011-07-01,45.6
2011-10-01,45.1
2012-01-01,43.1
2012-04-01,43.8
2012-07-01,44.1
2012-10-01,44.5
2013-01-01,43.1
2013-04-01,42.9
2013-07-01,43.1
2013-10-01,43.2
2014-01-01,43.3
2014-04-01,43.5
2014-07-01,42.9
2014-10-01,42.1
2015-01-01,41.9
2015-04-01,43.0
2015-07-01,42.4
2015-10-01,41.9
2016-01-01,41.5
2016-04-01,41.7
2016-07-01,41.3
2016-10-01,41.7
2017-01-01,42.7
2017-04-01,42.3
2017-07-01,42.0
2017-10-01,42.1
2018-01-01,42.2
2018-04-01,41.6
2018-07-01,41.7
2018-10-01,42.9
2019-01-01,41.1
2019-04-01,40.6
2019-07-01,42.7
2019-10-01,44.0
