DATE,LNS15000006
1972-01-01,5778
1972-02-01,5774
1972-03-01,5750
1972-04-01,5816
1972-05-01,5786
1972-06-01,5719
1972-07-01,5853
1972-08-01,5848
1972-09-01,5884
1972-10-01,5931
1972-11-01,5853
1972-12-01,5868
1973-01-01,6021
1973-02-01,5859
1973-03-01,5862
1973-04-01,5884
1973-05-01,5997
1973-06-01,6004
1973-07-01,5861
1973-08-01,5945
1973-09-01,5974
1973-10-01,5961
1973-11-01,5960
1973-12-01,5995
1974-01-01,5927
1974-02-01,6007
1974-03-01,6202
1974-04-01,6155
1974-05-01,6135
1974-06-01,6185
1974-07-01,6199
1974-08-01,6257
1974-09-01,6166
1974-10-01,6150
1974-11-01,6270
1974-12-01,6330
1975-01-01,6327
1975-02-01,6418
1975-03-01,6394
1975-04-01,6486
1975-05-01,6451
1975-06-01,6456
1975-07-01,6539
1975-08-01,6477
1975-09-01,6477
1975-10-01,6572
1975-11-01,6617
1975-12-01,6624
1976-01-01,6579
1976-02-01,6584
1976-03-01,6571
1976-04-01,6535
1976-05-01,6652
1976-06-01,6659
1976-07-01,6699
1976-08-01,6601
1976-09-01,6727
1976-10-01,6747
1976-11-01,6624
1976-12-01,6663
1977-01-01,6702
1977-02-01,6629
1977-03-01,6669
1977-04-01,6726
1977-05-01,6707
1977-06-01,6633
1977-07-01,6780
1977-08-01,6613
1977-09-01,6705
1977-10-01,6725
1977-11-01,6650
1977-12-01,6512
1978-01-01,6514
1978-02-01,6529
1978-03-01,6496
1978-04-01,6522
1978-05-01,6508
1978-06-01,6484
1978-07-01,6541
1978-08-01,6588
1978-09-01,6546
1978-10-01,6594
1978-11-01,6573
1978-12-01,6618
1979-01-01,6687
1979-02-01,6623
1979-03-01,6615
1979-04-01,6679
1979-05-01,6764
1979-06-01,6714
1979-07-01,6690
1979-08-01,6746
1979-09-01,6760
1979-10-01,6713
1979-11-01,6839
1979-12-01,6830
1980-01-01,6828
1980-02-01,6887
1980-03-01,6991
1980-04-01,6950
1980-05-01,6920
1980-06-01,7002
1980-07-01,6886
1980-08-01,6977
1980-09-01,7024
1980-10-01,6973
1980-11-01,6987
1980-12-01,7045
1981-01-01,7019
1981-02-01,7127
1981-03-01,7043
1981-04-01,6969
1981-05-01,7071
1981-06-01,7188
1981-07-01,7283
1981-08-01,7248
1981-09-01,7212
1981-10-01,7115
1981-11-01,7130
1981-12-01,7175
1982-01-01,7178
1982-02-01,7201
1982-03-01,7243
1982-04-01,7325
1982-05-01,7271
1982-06-01,7353
1982-07-01,7290
1982-08-01,7259
1982-09-01,7236
1982-10-01,7247
1982-11-01,7220
1982-12-01,7179
1983-01-01,7145
1983-02-01,7220
1983-03-01,7257
1983-04-01,7268
1983-05-01,7276
1983-06-01,7172
1983-07-01,7214
1983-08-01,7244
1983-09-01,7270
1983-10-01,7453
1983-11-01,7429
1983-12-01,7406
1984-01-01,7479
1984-02-01,7345
1984-03-01,7401
1984-04-01,7424
1984-05-01,7365
1984-06-01,7317
1984-07-01,7268
1984-08-01,7193
1984-09-01,7316
