DATE,LNS13000032
1972-01-01,329
1972-02-01,311
1972-03-01,332
1972-04-01,286
1972-05-01,324
1972-06-01,348
1972-07-01,312
1972-08-01,323
1972-09-01,339
1972-10-01,353
1972-11-01,315
1972-12-01,274
1973-01-01,311
1973-02-01,329
1973-03-01,326
1973-04-01,326
1973-05-01,302
1973-06-01,328
1973-07-01,321
1973-08-01,310
1973-09-01,313
1973-10-01,285
1973-11-01,328
1973-12-01,323
1974-01-01,312
1974-02-01,302
1974-03-01,274
1974-04-01,300
1974-05-01,308
1974-06-01,300
1974-07-01,329
1974-08-01,317
1974-09-01,342
1974-10-01,368
1974-11-01,401
1974-12-01,422
1975-01-01,431
1975-02-01,457
1975-03-01,480
1975-04-01,472
1975-05-01,493
1975-06-01,473
1975-07-01,439
1975-08-01,500
1975-09-01,491
1975-10-01,480
1975-11-01,461
1975-12-01,446
1976-01-01,474
1976-02-01,505
1976-03-01,447
1976-04-01,470
1976-05-01,430
1976-06-01,479
1976-07-01,494
1976-08-01,499
1976-09-01,475
1976-10-01,486
1976-11-01,466
1976-12-01,498
1977-01-01,496
1977-02-01,567
1977-03-01,530
1977-04-01,529
1977-05-01,507
1977-06-01,508
1977-07-01,488
1977-08-01,528
1977-09-01,538
1977-10-01,528
1977-11-01,582
1977-12-01,540
1978-01-01,521
1978-02-01,497
1978-03-01,516
1978-04-01,496
1978-05-01,525
1978-06-01,529
1978-07-01,550
1978-08-01,496
1978-09-01,501
1978-10-01,484
1978-11-01,508
1978-12-01,497
1979-01-01,526
1979-02-01,534
1979-03-01,505
1979-04-01,517
1979-05-01,502
1979-06-01,523
1979-07-01,515
1979-08-01,535
1979-09-01,504
1979-10-01,511
1979-11-01,486
1979-12-01,495
1980-01-01,501
1980-02-01,496
1980-03-01,518
1980-04-01,567
1980-05-01,586
1980-06-01,566
1980-07-01,599
1980-08-01,568
1980-09-01,526
1980-10-01,641
1980-11-01,658
1980-12-01,665
1981-01-01,623
1981-02-01,635
1981-03-01,661
1981-04-01,639
1981-05-01,644
1981-06-01,672
1981-07-01,657
1981-08-01,695
1981-09-01,701
1981-10-01,702
1981-11-01,696
1981-12-01,723
1982-01-01,700
1982-02-01,731
1982-03-01,762
1982-04-01,782
1982-05-01,773
1982-06-01,783
1982-07-01,806
1982-08-01,790
1982-09-01,810
1982-10-01,842
1982-11-01,857
1982-12-01,876
1983-01-01,965
1983-02-01,896
1983-03-01,939
1983-04-01,898
1983-05-01,895
1983-06-01,922
1983-07-01,852
1983-08-01,857
1983-09-01,844
1983-10-01,827
1983-11-01,795
1983-12-01,852
1984-01-01,801
1984-02-01,762
1984-03-01,750
1984-04-01,738
1984-05-01,740
1984-06-01,706
1984-07-01,763
1984-08-01,770
1984-09-01,681
1984-10-01,755
1984-11-01,764
1984-12-01,736
1985-01-01,750
1985-02-01,767
1985-03-01,740
1985-04-01,758
1985-05-01,763
1985-06-01,733
1985-07-01,753
1985-08-01,751
1985-09-01,768
1985-10-01,698
1985-11-01,792
1985-12-01,730
1986-01-01,691
1986-02-01,707
1986-03-01,710
1986-04-01,736
1986-05-01,750
1986-06-01,758
1986-07-01,705
1986-08-01,740
1986-09-01,729
1986-10-01,737
1986-11-01,753
1986-12-01,714
1987-01-01,737
1987-02-01,757
1987-03-01,774
1987-04-01,684
1987-05-01,700
1987-06-01,684
1987-07-01,693
1987-08-01,704
1987-09-01,725
1987-10-01,689
1987-11-01,665
1987-12-01,661
1988-01-01,676
1988-02-01,640
1988-03-01,688
1988-04-01,684
1988-05-01,652
1988-06-01,639
1988-07-01,646
1988-08-01,625
1988-09-01,599
1988-10-01,615
1988-11-01,601
1988-12-01,634
1989-01-01,656
1989-02-01,652
1989-03-01,605
1989-04-01,565
1989-05-01,606
1989-06-01,656
1989-07-01,634
1989-08-01,608
1989-09-01,607
1989-10-01,635
1989-11-01,641
1989-12-01,608
1990-01-01,620
1990-02-01,646
1990-03-01,629
1990-04-01,613
1990-05-01,612
1990-06-01,565
1990-07-01,622
1990-08-01,641
1990-09-01,661
1990-10-01,652
1990-11-01,651
1990-12-01,673
1991-01-01,658
1991-02-01,650
1991-03-01,675
1991-04-01,684
1991-05-01,726
1991-06-01,690
1991-07-01,623
1991-08-01,691
1991-09-01,706
1991-10-01,809
1991-11-01,745
1991-12-01,732
1992-01-01,748
1992-02-01,771
1992-03-01,769
1992-04-01,805
1992-05-01,837
1992-06-01,845
1992-07-01,826
1992-08-01,827
1992-09-01,750
1992-10-01,792
1992-11-01,820
1992-12-01,827
1993-01-01,818
1993-02-01,776
1993-03-01,703
1993-04-01,745
1993-05-01,731
1993-06-01,741
1993-07-01,741
1993-08-01,717
1993-09-01,708
1993-10-01,691
1993-11-01,690
1993-12-01,703
1994-01-01,794
1994-02-01,759
1994-03-01,812
1994-04-01,734
1994-05-01,705
1994-06-01,674
1994-07-01,582
1994-08-01,651
1994-09-01,628
1994-10-01,654
1994-11-01,649
1994-12-01,602
1995-01-01,617
1995-02-01,636
1995-03-01,632
1995-04-01,673
1995-05-01,565
1995-06-01,619
1995-07-01,632
1995-08-01,621
1995-09-01,658
1995-10-01,637
1995-11-01,581
1995-12-01,565
1996-01-01,667
1996-02-01,552
1996-03-01,605
1996-04-01,629
1996-05-01,600
1996-06-01,630
1996-07-01,665
1996-08-01,678
1996-09-01,635
1996-10-01,676
1996-11-01,667
1996-12-01,729
1997-01-01,709
1997-02-01,734
1997-03-01,694
1997-04-01,668
1997-05-01,688
1997-06-01,693
1997-07-01,642
1997-08-01,660
1997-09-01,652
1997-10-01,649
1997-11-01,645
1997-12-01,648
1998-01-01,630
1998-02-01,653
1998-03-01,646
1998-04-01,657
1998-05-01,632
1998-06-01,615
1998-07-01,620
1998-08-01,599
1998-09-01,630
1998-10-01,616
1998-11-01,599
1998-12-01,561
1999-01-01,532
1999-02-01,576
1999-03-01,584
1999-04-01,575
1999-05-01,505
1999-06-01,543
1999-07-01,654
1999-08-01,572
1999-09-01,569
1999-10-01,516
1999-11-01,535
1999-12-01,557
2000-01-01,576
2000-02-01,546
2000-03-01,509
2000-04-01,486
2000-05-01,540
2000-06-01,533
2000-07-01,530
2000-08-01,521
2000-09-01,483
2000-10-01,460
2000-11-01,498
2000-12-01,448
2001-01-01,589
2001-02-01,490
2001-03-01,526
2001-04-01,456
2001-05-01,526
2001-06-01,558
2001-07-01,515
2001-08-01,591
2001-09-01,659
2001-10-01,703
2001-11-01,689
2001-12-01,697
2002-01-01,727
2002-02-01,715
2002-03-01,737
2002-04-01,777
2002-05-01,801
2002-06-01,718
2002-07-01,731
2002-08-01,704
2002-09-01,692
2002-10-01,701
2002-11-01,756
2002-12-01,796
2003-01-01,725
2003-02-01,758
2003-03-01,731
2003-04-01,771
2003-05-01,714
2003-06-01,808
2003-07-01,794
2003-08-01,828
2003-09-01,775
2003-10-01,833
2003-11-01,748
2003-12-01,762
2004-01-01,758
2004-02-01,743
2004-03-01,794
